DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/02/14 17:13:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.68256,-47.91912,29.9
2024/02/14 17:13:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.67306,-47.92042,26.7
2024/02/14 16:34:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.69065,-47.9084,40.8
2024/02/14 16:34:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.68769,-47.913,10.6
2024/02/14 16:34:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.68473,-47.91761,10.6
2024/02/14 16:34:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.68414,-47.91346,10.6
2024/02/14 16:34:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.68119,-47.9181,11.3
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.69221,-47.91145,2.5
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.69149,-47.90792,2.5
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.68751,-47.91636,10.7
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.6868,-47.91288,11.8
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.6828,-47.92117,10.7
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.6821,-47.91773,10.7
